,Algorithm,Accuracy,Precision,Accuracy_Scores_numchr,Precision_Scores_numchr
0,KN,0.9052224371373307,1.0,0.9342359767891683,0.8301886792452831
1,NB,0.9709864603481625,1.0,0.9410058027079303,1.0
2,RF,0.9758220502901354,0.9829059829059829,0.9690522243713733,0.9818181818181818
3,SVC,0.9758220502901354,0.9747899159663865,0.8665377176015474,0.0
4,ETC,0.9748549323017408,0.9745762711864406,0.9787234042553191,0.9754098360655737
5,LR,0.9584139264990329,0.9702970297029703,0.9613152804642167,0.9622641509433962
6,AdaBoost,0.960348162475822,0.9292035398230089,0.9642166344294004,0.9316239316239316
7,xgb,0.9671179883945842,0.9262295081967213,0.9690522243713733,0.9416666666666667
8,GDBT,0.9468085106382979,0.9191919191919192,0.9506769825918762,0.9306930693069307
9,BgC,0.9584139264990329,0.8682170542635659,0.9661508704061895,0.8992248062015504
10,DT,0.9294003868471954,0.8282828282828283,0.9458413926499033,0.8867924528301887
